"airquality_raw","city","timestamp"
26.6727013249051,"San Francisco","2015-02-04T20:00:00.000Z"
23.8185001592944,"San Francisco","2015-02-04T21:00:00.000Z"
22.403323741022,"San Francisco","2015-02-04T22:00:00.000Z"
21.7556576695864,"San Francisco","2015-02-04T23:00:00.000Z"
22.1079980774472,"San Francisco","2015-02-05T00:00:00.000Z"
22.3904321152348,"San Francisco","2015-02-05T01:00:00.000Z"
21.6405376620539,"San Francisco","2015-02-05T02:00:00.000Z"
21.4941342016204,"San Francisco","2015-02-05T03:00:00.000Z"
21.1095761004741,"San Francisco","2015-02-05T04:00:00.000Z"
20.9820086436035,"San Francisco","2015-02-05T05:00:00.000Z"
21.088861286049,"San Francisco","2015-02-05T06:00:00.000Z"
20.5362731208519,"San Francisco","2015-02-05T07:00:00.000Z"
20.8707660568302,"San Francisco","2015-02-05T08:00:00.000Z"
20.7515407611366,"San Francisco","2015-02-05T09:00:00.000Z"
20.7963836152357,"San Francisco","2015-02-05T10:00:00.000Z"
21.5550440751601,"San Francisco","2015-02-05T11:00:00.000Z"
21.8597291877576,"San Francisco","2015-02-05T12:00:00.000Z"
22.9514806882893,"San Francisco","2015-02-05T13:00:00.000Z"
23.8628735216373,"San Francisco","2015-02-05T14:00:00.000Z"
25.055481926474,"San Francisco","2015-02-05T15:00:00.000Z"
26.4105454160769,"San Francisco","2015-02-05T16:00:00.000Z"
24.5547053555261,"San Francisco","2015-02-05T17:00:00.000Z"
23.0843147435915,"San Francisco","2015-02-05T18:00:00.000Z"
23.1586773296955,"San Francisco","2015-02-05T19:00:00.000Z"
22.9332529988454,"San Francisco","2015-02-05T20:00:00.000Z"
22.1081805702147,"San Francisco","2015-02-05T21:00:00.000Z"
21.7410209969844,"San Francisco","2015-02-05T22:00:00.000Z"
21.9079648417757,"San Francisco","2015-02-05T23:00:00.000Z"
21.4913416360247,"San Francisco","2015-02-06T00:00:00.000Z"
22.4083942629483,"San Francisco","2015-02-06T01:00:00.000Z"
23.71454377137,"San Francisco","2015-02-06T02:00:00.000Z"
23.4125465223661,"San Francisco","2015-02-06T03:00:00.000Z"
22.6787099543889,"San Francisco","2015-02-06T04:00:00.000Z"
22.0768687512727,"San Francisco","2015-02-06T05:00:00.000Z"
22.5067476768454,"San Francisco","2015-02-06T06:00:00.000Z"
22.0804085373286,"San Francisco","2015-02-06T07:00:00.000Z"
21.5589976917017,"San Francisco","2015-02-06T08:00:00.000Z"
21.4851321018822,"San Francisco","2015-02-06T09:00:00.000Z"
21.4587425868533,"San Francisco","2015-02-06T10:00:00.000Z"
22.2139014737413,"San Francisco","2015-02-06T11:00:00.000Z"
22.4731320625196,"San Francisco","2015-02-06T12:00:00.000Z"
21.3485421807316,"San Francisco","2015-02-06T13:00:00.000Z"
21.9773378656284,"San Francisco","2015-02-06T14:00:00.000Z"
22.5600151648447,"San Francisco","2015-02-06T15:00:00.000Z"
23.228781760039,"San Francisco","2015-02-06T16:00:00.000Z"
23.6055916568954,"San Francisco","2015-02-06T17:00:00.000Z"
23.3539731251828,"San Francisco","2015-02-06T18:00:00.000Z"
23.544103585816,"San Francisco","2015-02-06T19:00:00.000Z"
23.6126743442543,"San Francisco","2015-02-06T20:00:00.000Z"
23.6960370824225,"San Francisco","2015-02-06T21:00:00.000Z"
23.9435607663791,"San Francisco","2015-02-06T22:00:00.000Z"
