'id','city_name','temperature','humidity','light','airquality_raw','sound','dust','measurement_timestamp'
1,'Bangalore',28.6994009274797,37.8353777585305,32.4245222757538,30.3555116476299,946.64995759577,5152.55473431495,'2015-01-14T15:00:00'
2,'Bangalore',26.2403979072226,42.8895855953187,29.7552818828681,32.0613721250518,807.824343764165,5978.33860099432,'2015-01-14T16:00:00'
3,'Bangalore',25.6043582375479,45.1869109195402,2.2522030651341,27.9496168582375,768.707279693487,5111.3340933908,'2015-01-14T17:00:00'
4,'Bangalore',25.3713052608311,46.314264294135,0,25.9769341290893,761.455732390215,5117.1611899499,'2015-01-14T18:00:00'
5,'Bangalore',25.1034099616858,46.9324712643678,0,25.1864942528736,701.746551724138,4992.79664128352,'2015-01-14T19:00:00'
6,'Bangalore',24.7951340996169,48.8337835249042,0,23.8106800766284,742.24367816092,4855.4227006705,'2015-01-14T20:00:00'
7,'Bangalore',24.3199650574713,51.7046556321839,0,22.8684850574713,700.546859770115,4568.48502866667,'2015-01-14T21:00:00'
8,'Bangalore',22.9886333996463,55.3129796640142,0,22.9253315649867,498.50207780725,2904.35021866711,'2015-01-14T22:00:00'
9,'Bangalore',23.4410759897829,53.8059610472541,0,22.3219667943806,594.560153256705,2562.33812005109,'2015-01-14T23:00:00'
10,'Bangalore',23.136101532567,54.3831928480204,0.0134099616858238,22.6893997445722,599.818901660281,2493.49914048531,'2015-01-15T00:00:00'
11,'Bangalore',22.976880587484,54.5227873563218,69.3560664112388,23.192656449553,600.120178799489,2565.342401341,'2015-01-15T01:00:00'
12,'Bangalore',23.1575159642401,52.929374201788,350.356704980843,22.5224457215837,599.194508301405,2612.96294636015,'2015-01-15T02:00:00'
13,'Bangalore',24.1637420178799,48.4144444444444,806.288665389527,21.6397190293742,621.040357598978,2550.47054948914,'2015-01-15T03:00:00'
14,'Bangalore',26.0513633461047,43.0642496807152,3673.70648148148,20.5824074074074,598.411111111111,2897.73349265645,'2015-01-15T04:00:00'
15,'Bangalore',29.9505147783251,36.2456309523809,6095.4496592775,20.6029269293924,616.714187192119,2936.44257532841,'2015-01-15T05:00:00'
16,'Bangalore',32.3580662274322,31.3860468897065,7491.02072388123,21.5056758221386,688.419314908303,3535.70804626223,'2015-01-15T06:00:00'
17,'Bangalore',30.5685101460046,31.1065600137207,3789.90348861215,23.4037947073714,853.166743527932,3824.61087815266,'2015-01-15T07:00:00'
18,'Bangalore',29.4993295019157,30.8765445402299,2585.96726532567,21.9821360153257,835.874233716475,3753.23707710728,'2015-01-15T08:00:00'
19,'Bangalore',30.0689224137931,29.3965828544061,2213.90001197318,22.3362847222222,832.581082375479,3907.72270647749,'2015-01-15T09:00:00'
20,'Bangalore',29.7337530907286,29.3825347586473,1333.3062972307,22.704493062896,963.546946056565,3965.7326882852,'2015-01-15T10:00:00'
21,'Bangalore',29.5320701192964,29.011050113201,724.210043538837,22.4824399164054,1042.25236764194,3344.08201598529,'2015-01-15T11:00:00'
22,'Bangalore',28.637816091954,30.4776551237093,102.812176115332,24.0447545295149,1028.8973504773,3582.45447362653,'2015-01-15T12:00:00'
23,'Bangalore',27.8186777504105,32.6282697044335,10.3887356321839,28.6030021893815,998.205511767926,4023.8867747537,'2015-01-15T13:00:00'
24,'Bangalore',27.8193122779876,33.8704938325905,13.5492033189205,30.195393400768,1293.4794954493,3498.34322065288,'2015-01-15T14:00:00'
25,'Bangalore',26.4888734512614,34.8926175714452,9.98448914431673,25.9774298817402,1126.82805617754,3769.88293123352,'2015-01-15T15:00:00'
26,'Bangalore',25.6940556467798,38.3710733898923,5.11222222222222,22.9240900383142,1011.42581280788,4115.4627982599,'2015-01-15T16:00:00'
27,'Bangalore',25.0435671775224,41.601411792252,0.0160919540229885,22.0673971902937,996.615977862921,3900.24479487016,'2015-01-15T17:00:00'
28,'Bangalore',24.7151206896552,43.2749102011494,0.0233333333333333,21.846257183908,955.509865900383,3868.66839487548,'2015-01-15T18:00:00'
29,'Bangalore',24.6003561654547,44.3871140997906,0,22.3508483853312,975.260009904345,3512.23614400831,'2015-01-15T19:00:00'
30,'Bangalore',24.7913090676884,45.2308413154534,0.00648148148148148,23.6865421455939,1019.91232439336,3101.7857469668,'2015-01-15T20:00:00'
31,'Bangalore',23.9561480120596,46.3334386524536,0,22.1164365124229,931.397784597163,3325.49165494361,'2015-01-15T21:00:00'
32,'Bangalore',23.544030651341,49.3392681992337,0,22.0001149425287,931.097318007663,3414.0504862069,'2015-01-15T22:00:00'
33,'Bangalore',23.0002720306513,55.3821455938697,0,21.9345210727969,931.800536398468,3716.36734904214,'2015-01-15T23:00:00'
34,'Bangalore',23.1725978835979,56.3588704007785,1.15323754789272,22.3673557136775,923.639178981938,3708.10535672322,'2015-01-16T00:00:00'
35,'Bangalore',23.1958007662835,56.0467681992337,127.688812260536,23.0106321839081,949.526360153257,3695.39352509579,'2015-01-16T01:00:00'
36,'Bangalore',23.4383683634373,55.8613489326765,592.167091543514,24.1367214012042,960.536932129174,3637.77459259031,'2015-01-16T02:00:00'
37,'Bangalore',24.8082971738768,53.1768734292274,2326.42639531683,24.5389596868233,1063.15137431284,3532.4729316465,'2015-01-16T03:00:00'
38,'Bangalore',27.6168310983397,47.3304058277879,5917.41324947906,23.3133057740136,1055.40045372051,3553.28925720071,'2015-01-16T04:00:00'
39,'Bangalore',29.5458296130952,40.5677047413793,6131.48438526273,22.1917641625616,1007.73479064039,3846.21111990712,'2015-01-16T05:00:00'
